snapshot_ts_utc,snapshot_date,asset,expiration,tier,schwab_symbol,strike,pm_yes,pm_n_ticks,pm_asof,opt_prob,spot,diff,liquid,pm_bid,pm_ask,pm_spread,pm_one_sided,liquid_basis
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,50.0,0.997,29,2026-07-09T18:37:53+00:00,1.0,74.78,-0.003,False,0.997,,,1.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,60.0,0.9895,17,2026-07-09T18:37:53+00:00,0.9818163476036262,74.78,0.0076836523963738,True,0.98,0.999,0.019,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,70.0,0.97,22,2026-07-09T18:37:53+00:00,0.9818163476036262,74.78,-0.0118163476036262,True,0.964,0.976,0.012,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,80.0,0.024,21,2026-07-09T18:37:53+00:00,0.0050005044090027,74.78,0.0189994955909972,True,0.012,0.036,0.024,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,90.0,0.005,28,2026-07-09T18:37:53+00:00,-0.0,74.78,0.005,False,0.001,0.009,0.008,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,100.0,0.007,36,2026-07-09T18:37:53+00:00,0.0,74.78,0.007,False,,0.007,,1.0,volume_backfill
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,110.0,0.006,37,2026-07-09T18:37:53+00:00,-0.0,74.78,0.006,False,,0.006,,1.0,volume_backfill
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,120.0,0.003,34,2026-07-09T18:37:53+00:00,-0.0,74.78,0.003,False,,0.003,,1.0,volume_backfill
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,130.0,0.004,33,2026-07-09T18:37:53+00:00,0.0,74.78,0.004,False,,0.004,,1.0,volume_backfill
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,140.0,0.002,35,2026-07-09T18:37:53+00:00,-0.0,74.78,0.002,False,,0.002,,1.0,volume_backfill
2026-07-09T18:33:27+00:00,2026-07-09,NVDA,2026-07-10,exact,NVDA,165.0,0.852,9,2026-07-09T18:37:55+00:00,1.0,203.24,-0.148,False,0.852,,,1.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NVDA,2026-07-10,exact,NVDA,170.0,0.9375,14,2026-07-09T18:37:55+00:00,1.0,203.24,-0.0625,False,0.876,0.999,0.123,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NVDA,2026-07-10,exact,NVDA,175.0,0.9885,11,2026-07-09T18:37:55+00:00,1.0,203.24,-0.0114999999999999,True,0.98,0.997,0.017,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NVDA,2026-07-10,exact,NVDA,180.0,0.899,14,2026-07-09T18:37:55+00:00,0.9979997982363988,203.24,-0.0989997982363988,False,0.801,0.997,0.196,0.0,book
